station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
1,44.150528,-77.3955,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/belleville,,o3,,,,24.8,1022.5,,5,,,10.5
2,43.69875,-79.780917,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/brampton,,pm25,2.8,,,10.4,1015.7,,25,,0.2,11.6
3,43.138611,-80.292639,2019-10-06 01:00:00,-05:00,42,https://aqicn.org/city/canada/ontario/brantford,,pm25,6.6,,,1.6,1018.1,,42,,0.5,
4,43.315111,-79.802639,2019-10-06 01:00:00,-05:00,42,https://aqicn.org/city/canada/ontario/burlington,,pm25,3.7,,86.5,4,981.7,,42,,0.6,11.1
5,42.403694,-82.208306,2019-10-06 01:00:00,-05:00,42,https://aqicn.org/city/canada/ontario/chatham,,pm25,,,,22.4,991.9,,42,,,14.4
6,45.017972,-74.735222,2019-10-06 01:00:00,-05:00,13,https://aqicn.org/city/canada/ontario/cornwall,,pm25,,,,12.8,,,13,,,
7,45.224278,-78.932944,2019-10-06 01:00:00,-05:00,23,https://aqicn.org/city/canada/ontario/dorset,,o3,,,,23.3,1010.8,,9,,,8.8
8,43.333083,-81.742889,2019-10-06 01:00:00,-05:00,18,https://aqicn.org/city/canada/ontario/grand-bend,,o3,,,,17.6,1013.4,,9,,,10.5
9,43.551611,-80.264167,2019-10-06 01:00:00,-05:00,21,https://aqicn.org/city/canada/ontario/guelph,,pm25,,,,14.5,1016.2,,21,,,
10,43.257778,-79.861667,2019-10-06 01:00:00,-05:00,13,https://aqicn.org/city/canada/ontario/hamilton-downtown,,pm25,3.7,,,4.8,1016.7,,13,,0.6,8.3
11,43.229417,-79.862778,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/hamilton-mountain,,pm25,6.6,,,18.4,1016.7,,25,,0.6,8.3
12,43.257444,-79.90775,2019-10-06 01:00:00,-05:00,38,https://aqicn.org/city/canada/ontario/hamilton-west,,pm25,6.6,,,1.6,1016.7,,38,,0.6,8.3
13,44.219722,-76.521111,2019-10-06 01:00:00,-05:00,26,https://aqicn.org/city/canada/ontario/kingston,,o3,,,,26.4,1021.8,,13,,,9.7
14,43.443833,-80.503806,2019-10-06 01:00:00,-05:00,17,https://aqicn.org/city/canada/ontario/kitchener,,pm25,,,,7.3,,,17,,,10.5
15,42.97446,-81.200858,2019-10-06 01:00:00,-05:00,16,https://aqicn.org/city/canada/ontario/london,,o3,,,,16,980.9,,9,,,
16,43.54697,-79.65869,2019-10-06 01:00:00,-05:00,21,https://aqicn.org/city/canada/ontario/mississauga,,pm25,2.8,,,10.4,1016.7,,21,,0.2,11.1
17,,,,-0500,-,http://aqicn.org/city/canada/ontario/morrisburg/,,,,,88,,1009,,,0,,21.15
18,44.044306,-79.48325,2019-10-06 01:00:00,-05:00,18,https://aqicn.org/city/canada/ontario/newmarket,,o3,2.8,,,17.6,1018.4,,9,,0.2,10.5
19,46.323194,-79.449278,2019-10-06 01:00:00,-05:00,23,https://aqicn.org/city/canada/ontario/north-bay,,o3,,,,23.3,1013.8,,9,,,9.6
20,43.486917,-79.702278,2019-10-06 01:00:00,-05:00,21,https://aqicn.org/city/canada/ontario/oakville,,pm25,6.6,,84.8,14.5,1016.3,,21,,0.2,12.6
21,43.945944,-78.894917,2019-10-06 01:00:00,-05:00,21,https://aqicn.org/city/canada/ontario/oshawa,,o3,,,77.2,20.8,1017.8,,9,,0.2,13.7
22,45.382528,-75.714194,2017-12-29 13:00:00,-05:00,25,http://aqicn.org/city/canada/ontario/ottawa-central/,,o3,,,64,24.8,1025,,9,,,-19.36
23,45.434333,-75.676,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/ottawa-downtown,,pm25,1.8,,84.4,14.5,1022.8,,25,,0.2,5.5
24,45.337861,-80.038167,2019-10-06 01:00:00,-05:00,23,https://aqicn.org/city/canada/ontario/parry-sound,,o3,,,,23.3,1010.8,,5,,,8.8
25,45.996722,-77.441194,2019-10-06 01:00:00,-05:00,18,https://aqicn.org/city/canada/ontario/petawawa,,o3,,,,18.4,1021.6,,9,,,
26,44.301917,-78.346222,2019-10-06 01:00:00,-05:00,16,https://aqicn.org/city/canada/ontario/peterborough,,o3,,,,16,1019.9,,9,,,
27,42.672083,-81.162889,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/port-stanley,,o3,,,,24.8,980.9,,13,,,
28,42.982278,-82.405083,2019-10-06 01:00:00,-05:00,18,https://aqicn.org/city/canada/ontario/sarnia,,o3,,,,18.4,1011.2,,17,,0.3,14.7
29,46.533194,-84.309917,2019-10-06 01:00:00,-05:00,23,https://aqicn.org/city/canada/ontario/sault-ste-marie,,o3,,,,23.3,1008.8,,9,,0.2,
30,43.160056,-79.23475,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/st.-catharines,,pm25,,,,23.3,1018.8,,25,,,12.2
31,46.49194,-81.003105,2019-10-06 01:00:00,-05:00,22,https://aqicn.org/city/canada/ontario/sudbury,,o3,,,,21.6,1014.2,,9,,0.2,9.3
32,48.379389,-89.290167,2019-10-06 01:00:00,-05:00,16,https://aqicn.org/city/canada/ontario/thunder-bay,,o3,,,,16,997.9,,5,,,
33,44.314472,-81.549722,2019-10-06 01:00:00,-05:00,20,https://aqicn.org/city/canada/ontario/tiverton,,o3,,,,20,1011.9,,9,,,11.6
34,43.662972,-79.388111,2019-10-06 01:00:00,-05:00,24,https://aqicn.org/city/canada/ontario/toronto-downtown,,o3,2.8,,64.8,24.1,1019.8,,21,,0.2,13.8
35,43.747917,-79.274056,2019-10-06 01:00:00,-05:00,25,https://aqicn.org/city/canada/ontario/toronto-east,,pm25,2.8,,86.6,22.4,1015.5,,25,,0.2,11.8
36,43.781611,-79.417722,2019-10-06 01:00:00,-05:00,18,https://aqicn.org/city/canada/ontario/toronto-north,,o3,2.8,,,18.4,1014.9,,13,,0.2,9.4
37,43.709444,-79.5435,2019-10-06 01:00:00,-05:00,19,https://aqicn.org/city/canada/ontario/toronto-west,,o3,2.8,,,19.2,1017.6,,9,,0.2,13.3
38,42.315778,-83.043667,2019-10-06 01:00:00,-05:00,21,https://aqicn.org/city/canada/ontario/windsor-downtown,,pm25,3.4,,80.5,14.5,,,21,,0.2,
39,42.292889,-83.073139,2019-10-06 01:00:00,-05:00,46,https://aqicn.org/city/canada/ontario/windsor-west,,pm25,5.6,,80.5,12.8,,,46,,0.5,
40,68.356994,-133.714063,2019-10-05 21:00:00,-05:00,19,https://aqicn.org/city/canada/northwestterritories/inuvik,,o3,3.8,,,19.2,,10,17,,0.6,
41,65.279676,-126.812887,2019-10-05 21:00:00,-05:00,20,https://aqicn.org/city/canada/northwestterritories/norman-wells,,o3,,0.5,,19.6,,3,4,,3.9,1.5
42,62.452084,-114.364031,2019-10-05 21:00:00,-05:00,28,https://aqicn.org/city/canada/northwestterritories/yellowknife,,pm25,3.1,,,7.6,1001.4,22,28,,1.2,3.8
43,-122.29616,38.31097,2018-05-14 11:00:00,-08:00,30,http://aqicn.org/city/california/north-counties/napa/,,pm25,31.2,,,19.2,,,30,,,
44,37.9723,-122.52011,2018-09-14 00:00:00,-08:00,25,http://aqicn.org/city/california/north-counties/san-rafael/,,pm25,28.9,,,16,1016.2,,25,,1.2,57
45,,,,-0800,-,http://aqicn.org/city/california/north-counties/santa-rosa/,,,,,,,,,,,,
46,38.10251,-122.238,2018-09-14 00:00:00,-08:00,17,http://aqicn.org/city/california/north-counties/vallejo/,,pm25,18.9,,87,20.8,1013.7,,17,,0.5,
47,37.74306,-122.16994,2018-09-13 23:00:00,-08:00,15,http://aqicn.org/city/california/coast-and-central-bay/oakland/,,o3,32.3,,87,14.5,1014.5,,13,,0.2,13.3
48,37.8148,-122.28236,2018-09-13 23:00:00,-08:00,25,http://aqicn.org/city/california/coast-and-central-bay/oakland-west/,,pm25,33.4,,87,18.4,1014.4,,25,,0.2,13.7
49,37.76595,-122.39902,2018-09-14 00:00:00,-08:00,9,http://aqicn.org/city/california/coast-and-central-bay/san-francisco/,,pm25,16.7,,87,20.8,1014.6,,9,,0.2,58
50,37.9604,-122.3568,2018-09-13 23:00:00,-08:00,22,http://aqicn.org/city/california/coast-and-central-bay/san-pablo/,,o3,31.2,,93.6,21.6,1013.9,,17,,0.6,57
51,37.936,-122.0262,2018-09-14 00:00:00,-08:00,17,http://aqicn.org/city/california/eastern-district/concord/,,pm25,34.5,,79.2,12.8,1015.9,,17,,0.3,13.6
52,37.6875,-121.7842,2018-09-14 00:00:00,-08:00,25,http://aqicn.org/city/california/eastern-district/livermore/,,pm25,,,,20,1011.5,,25,,,12.7
53,37.48293,-122.20348,2018-09-14 00:00:00,-08:00,9,http://aqicn.org/city/california/south-central-bay/redwood-city/,,pm25,21.2,,,20,1014.2,,9,,,10.2
54,,,,-0800,-,http://aqicn.org/city/california/santa-clara-valley/cupertino/,,,,,,,,,,,,
55,36.99958,-121.57466,2018-09-14 00:00:00,-08:00,5,http://aqicn.org/city/california/santa-clara-valley/gilroy/,,pm25,,,,21.6,1014.6,,5,,,12.7
56,,,,-0800,-,http://aqicn.org/city/california/santa-clara-valley/san-jose-central/,,,,,,,,,,,,
58,41.051896,-73.763648,2019-10-05 23:00:00,-04:00,22,https://aqicn.org/city/usa/newyork/white-plains,,pm25,3,,86,4.8,1015.3,,22,,,44.9
59,40.819732,-73.948239,2019-10-05 23:00:00,-04:00,10,https://aqicn.org/city/usa/newyork/ccny,,pm25,2.6,,60.4,16,1028.1,,10,,,14.1
60,40.815517,-73.885552,2019-10-05 23:00:00,-04:00,24,https://aqicn.org/city/usa/newyork/is-74,,pm25,1.9,,60.4,4,1028.1,,24,,,14.1
61,40.64182,-73.885552,2019-10-05 23:00:00,-04:00,26,https://aqicn.org/city/usa/newyork/ps-314,,pm25,2.7,,,3.2,1028.2,,26,,,14.8
62,40.72698,-73.89312,2019-10-05 23:00:00,-04:00,5,https://aqicn.org/city/usa/newyork/maspeth,,pm25,2.7,,60.4,3.2,1028.1,,5,,,14.1
63,40.743156,-73.585513,2019-10-05 23:00:00,-04:00,35,https://aqicn.org/city/usa/newyork/eisenhower-park,,pm25,3,,,27.2,1026.9,,35,,,50.4
64,40.848913,-73.930604,2019-10-05 23:00:00,-04:00,13,https://aqicn.org/city/usa/newyork/is-143,,pm25,2.2,,82.7,26.4,1028.5,,13,,,10.2
65,40.580254,-74.198295,2019-10-05 23:00:00,-04:00,7,https://aqicn.org/city/usa/newyork/fresh-kills-west,,pm25,0.1,,78.5,24.1,1027.5,,7,,,12.7
67,44.61569,-123.091457,2019-10-05 21:00:00,-07:00,45,https://aqicn.org/city/usa/oregon/albany,,pm25,,,,32.8,1030.9,9,45,,,11.1
68,42.290094,-123.2321,2019-10-05 21:00:00,-07:00,21,https://aqicn.org/city/usa/oregon/applegate-valley,,pm25,,,,28.9,1024.7,,21,,,7.2
69,44.78822,-117.8446,2019-10-05 21:00:00,-07:00,104,https://aqicn.org/city/usa/oregon/baker-city,,pm25,,,,,1028.7,,104,,,
70,45.470191,-122.816411,2019-10-05 21:00:00,-07:00,59,https://aqicn.org/city/usa/oregon/beaverton,,pm25,4.5,,,0.1,1028.6,9,59,,,7.7
71,44.063916,-121.312554,2019-10-05 21:00:00,-07:00,44,https://aqicn.org/city/usa/oregon/bend,,pm25,,,,,1022.1,,44,,,6.1
72,43.58925,-119.04872,2019-10-05 21:00:00,-07:00,74,https://aqicn.org/city/usa/oregon/burns,,pm25,,,,,26.07,,74,,,7.2
73,42.1617,-123.64835,2019-10-05 21:00:00,-07:00,15,https://aqicn.org/city/usa/oregon/cave-junction,,pm25,,,,,1024.9,,15,,,
74,44.5884,-123.2673,2019-10-05 21:00:00,-07:00,31,https://aqicn.org/city/usa/oregon/corvallis,,pm25,,,,32.8,1026.6,9,31,,,13.3
75,45.426351,-117.296066,2019-10-05 21:00:00,-07:00,35,https://aqicn.org/city/usa/oregon/enterprise,,pm25,,,,,1027.2,,35,,,0.5
76,42.434149,-123.348466,2019-10-05 21:00:00,-07:00,37,https://aqicn.org/city/usa/oregon/grants-pass,,pm25,,,,,29.25,,37,,,13
77,45.828968,-119.262991,2019-10-03 13:00:00,-07:00,26,https://aqicn.org/city/usa/oregon/hermiston,,o3,,,41.1,26.4,1011.3,,14,,,17
78,45.528501,-122.972398,2019-10-05 21:00:00,-07:00,59,https://aqicn.org/city/usa/oregon/hillsboro,,pm25,4.5,,,0.1,1028.6,9,59,,,19.4
79,44.418,-118.9513,2019-10-05 21:00:00,-07:00,103,https://aqicn.org/city/usa/oregon/john-day,,pm25,,0.3,62.3,,1028.9,,103,,,
80,42.190296,-121.731369,2019-10-05 21:00:00,-07:00,25,https://aqicn.org/city/usa/oregon/klamath-falls,,pm25,,,56,,26.06,,25,,,7.6
81,45.323625,-118.078063,2019-10-05 20:00:00,-07:00,35,https://aqicn.org/city/usa/oregon/la-grande,,pm25,,,69,,25.06,,35,,,7
82,42.189215,-120.353969,2019-10-05 21:00:00,-07:00,59,https://aqicn.org/city/usa/oregon/lakeview,,pm25,,,,,25.51,,59,,,7.8
83,44.778743,-122.617048,2019-10-05 21:00:00,-07:00,103,https://aqicn.org/city/usa/oregon/lyons,,pm25,,,,32.8,1027.1,9,103,,,7.2
84,42.229891,-122.7877,2019-10-03 13:00:00,-07:00,29,https://aqicn.org/city/usa/oregon/medford,,o3,,,,28.9,1016.6,,15,,,
85,45.652231,-118.823033,2019-10-05 21:00:00,-07:00,21,https://aqicn.org/city/usa/oregon/pendleton,,pm25,,,,26.4,29.2,,21,,,9.4
86,45.496641,-122.602877,2019-10-05 21:00:00,-07:00,70,https://aqicn.org/city/usa/oregon/portland,,pm25,4.7,,,0.1,1028.5,9,70,,1.5,
87,44.299787,-120.844773,2019-10-05 21:00:00,-07:00,49,https://aqicn.org/city/usa/oregon/prineville,,pm25,,,58,,27.33,,49,,,7.9
88,43.2266,-123.36479,2019-10-05 21:00:00,-07:00,27,https://aqicn.org/city/usa/oregon/roseburg,,pm25,,,,,1025.5,,27,,,
89,44.943114,-123.005934,2019-10-05 21:00:00,-07:00,61,https://aqicn.org/city/usa/oregon/salem,,pm25,,,,22.4,1028.2,9,61,,,
90,42.623225,-122.810158,2019-10-05 21:00:00,-07:00,18,https://aqicn.org/city/usa/oregon/shady-cove,,pm25,,,,28.9,1026.3,,18,,,9.4
91,45.014998,-122.790382,2019-10-05 21:00:00,-07:00,63,https://aqicn.org/city/usa/oregon/silverton,,pm25,,,,22.4,1027.5,9,63,,,8.8
92,44.2921,-121.5555,2019-10-05 21:00:00,-07:00,28,https://aqicn.org/city/usa/oregon/sisters,,pm25,,,,,,,28,,,2.7
93,44.395791,-122.7305,2019-10-05 21:00:00,-07:00,86,https://aqicn.org/city/usa/oregon/sweet-home,,pm25,,,,,1026.6,9,86,,,8.8
94,45.602419,-121.203387,2019-10-05 16:00:00,-07:00,18,https://aqicn.org/city/usa/oregon/the-dalles,,pm25,,,58.2,,,,18,,,17.3
95,44.63062,-121.13165,2019-10-05 21:00:00,-07:00,39,https://aqicn.org/city/usa/oregon/madras,,pm25,,,,,1032.4,,39,,,7.7
96,46.97228,-123.83173,2019-10-05 21:00:00,-07:00,19,https://aqicn.org/city/usa/washington/aberdeen/division-st,,pm25,,,,,,,19,,,
